Symbol	Description
HSMD.SI	SMIC HK SDR 5to1
HSS.SI	Lion-OCBC Sec HSTECH US$
HST.SI	Lion-OCBC Sec HSTECH S$
HTCD.SI	Tencent HK SDR 10to1
HTGD.SI	Trip.com HK SDR 50to1
HUKW.SI	SIMSCI 460MBeCW260629
HUUD.SI	UBTECHRobo HK SDR10to1
HXXD.SI	Xiaomi HK SDR 2to1
HYDD.SI	BYD HK SDR 10to1
HZGD.SI	Zijin Gld HK SDR 10to1
HZXW.SI	Trip MB eCW260602
i06.SI	Intraco
i07.SI	ISDN
i11.SI	Renaissance United
I49.SI	IFS Capital
I49.SI	IFS Capital
I49.SI	IFS Capital
I49.SI	IFS Capital
I98.SI	IS INDIA CLIMATE US$
IAUW.SI	Popmart 5xLongSG270706
IBKD.SI	BBCA ID SDR 1to2
ICH.SI	Lion-CM CSI Div CNY
ICM.SI	ISHARES AXJCLIMATE S$
ICU.SI	ISHARES AXJCLIMATE US$
IEYW.SI	CATL 5xLongSG270712
IGBW.SI	OCBC Bk MB eCW260930
IGYW.SI	TencentMBeCW261005
IHEW.SI	AIA 5xLongUB270730
IICD.SI	IDFD CBP ID SDR 1to2
IJWW.SI	Meituan 5xShortSG280120
ILNW.SI	HSI 29800MBeCW260429
INC.SI	Lion-CM CSI Div S$
IPPW.SI	Popmart 5xShortUB270730
IPTW.SI	APPLE 3xLongSG261204US$
IPUW.SI	APPLE 3xShortSG261204US$
IRRS.SI	N521100V 261101
ITEW.SI	S&P 7000MBeCW260918
ITKD.SI	TLKM ID SDR 1to5
ITS.SI	Info-Tech
IVKW.SI	KeppelMBeCW260930
IWWW.SI	Alibaba 5xLongSG280316
IYUW.SI	S&P 7000MBePW260918
IZGW.SI	Pacific RadianceW270919
IZSW.SI	XPeng 5xLongUB270730
J03.SI	Jadason
J2T.SI	Hock Lian Seng
J36.SI	JMH USD
J69U.SI	Frasers Cpt Tr
J85.SI	CDL HTrust
JCDW.SI	Keppel 5xLongUB270730
JCJW.SI	Alibaba MB ePW261005
JCO.SI	JustCo
JFQ.SI	AnnicaHoldings
JFXW.SI	DBS MB ePW260930
JGCW.SI	BYD 5xLongUB270831
JGKW.SI	HSTECH 5xShortUB270226
JHDW.SI	DBS 5xShortUB261030
JIGW.SI	Keppel 5xShortUB270831
JIYW.SI	Kuaisho 5xLongUB280731
JJGW.SI	PetroCH MBeCW261005
JJJ.SI	A Lion-Nomura Japan S$
JK8.SI	UOBAM FTSE CN A50 S$
JLFW.SI	SGX 5xLongSG280516
JSKW.SI	SMIC 5xLongSG270316
JUS.SI	A Lion-Nomura Japan US$
JVPW.SI	CNOOC 5xLongUB260831
JVWW.SI	Baidu 5xLongSG261027
JWAW.SI	PingAn MB eCW260804
JYEU.SI	Lendlease Reit
K03.SI	Khong Guan
K29.SI	Karin Tech
K6S.SI	Prudential USD
K71U.SI	Keppel Reit
K75.SI	Koh Bros
KAGW.SI	Nasdaq 5xShortSG280406
KAGW.SI	Nasdaq 5xShortSG280406
KFCW.SI	PetroCH 5xLongSG280223
KGZW.SI	AMD 3xShortSG280420
KIHW.SI	HSTECH 5xLongUB270831
KIN.SI	KIN
KJ5.SI	BBR
KJ7.SI	XT MSINDO US$
KJZW.SI	9RW270628
KLZW.SI	HSI 27400MBeCW260528
KMMW.SI	Alibaba 5xLongSG270930
KQXW.SI	DBS MB ePW261229
